sample_id,is_correct,category,difficulty,error_count,error_types,token_count,token_sequence,source_code
C001,1,variable_declaration,beginner,0,,17,KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(int) IDENTIFIER ASSIGN IDENTIFIER PLUS IDENTIFIER SEMICOLON,int x = 5;\nint y = 10;\nint sum = x + y;\n
C002,1,if_statement,beginner,0,,22,KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(if) LPAREN IDENTIFIER GT INT_LITERAL RPAREN LBRACE KEYWORD(return) INT_LITERAL SEMICOLON RBRACE KEYWORD(else) LBRACE KEYWORD(return) INT_LITERAL SEMICOLON RBRACE,int a = 3;\nif (a > 0) {\n    return 1;\n} else {\n    return 0;\n}\n
C003,1,while_loop,beginner,0,,19,KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(while) LPAREN IDENTIFIER LT INT_LITERAL RPAREN LBRACE IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL SEMICOLON RBRACE,int i = 0;\nwhile (i < 10) {\n    i = i + 1;\n}\n
C004,1,for_loop,intermediate,0,,30,KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(for) LPAREN KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON IDENTIFIER LT INT_LITERAL SEMICOLON IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL RPAREN LBRACE IDENTIFIER ASSIGN IDENTIFIER PLUS IDENTIFIER SEMICOLON RBRACE,int sum = 0;\nfor (int i = 0; i < 5; i = i + 1) {\n    sum = sum + i;\n}\n
C005,1,function,intermediate,0,,16,KEYWORD(int) IDENTIFIER LPAREN KEYWORD(int) IDENTIFIER COMMA KEYWORD(int) IDENTIFIER RPAREN LBRACE KEYWORD(return) IDENTIFIER PLUS IDENTIFIER SEMICOLON RBRACE,"int add(int a, int b) {\n    return a + b;\n}\n"
C006,1,nested_if,intermediate,0,,28,KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(if) LPAREN IDENTIFIER GT INT_LITERAL RPAREN LBRACE KEYWORD(if) LPAREN IDENTIFIER LT INT_LITERAL RPAREN LBRACE KEYWORD(int) IDENTIFIER ASSIGN IDENTIFIER MULTIPLY INT_LITERAL SEMICOLON RBRACE RBRACE,int x = 5;\nif (x > 0) {\n    if (x < 10) {\n        int y = x * 2;\n    }\n}\n
C007,1,array,intermediate,0,,33,KEYWORD(int) IDENTIFIER LBRACKET INT_LITERAL RBRACKET SEMICOLON IDENTIFIER LBRACKET INT_LITERAL RBRACKET ASSIGN INT_LITERAL SEMICOLON IDENTIFIER LBRACKET INT_LITERAL RBRACKET ASSIGN INT_LITERAL SEMICOLON KEYWORD(int) IDENTIFIER ASSIGN IDENTIFIER LBRACKET INT_LITERAL RBRACKET PLUS IDENTIFIER LBRACKET INT_LITERAL RBRACKET SEMICOLON,int arr[5];\narr[0] = 1;\narr[1] = 2;\nint val = arr[0] + arr[1];\n
C008,1,function,advanced,0,,29,KEYWORD(int) IDENTIFIER LPAREN KEYWORD(int) IDENTIFIER RPAREN LBRACE KEYWORD(if) LPAREN IDENTIFIER EQ INT_LITERAL RPAREN LBRACE KEYWORD(return) INT_LITERAL SEMICOLON RBRACE KEYWORD(return) IDENTIFIER MULTIPLY IDENTIFIER LPAREN IDENTIFIER MINUS INT_LITERAL RPAREN SEMICOLON RBRACE,int factorial(int n) {\n    if (n == 0) {\n        return 1;\n    }\n    return n * factorial(n - 1);\n}\n
C009,1,for_if_else,intermediate,0,,65,KEYWORD(int) IDENTIFIER LPAREN RPAREN LBRACE KEYWORD(int) IDENTIFIER SEMICOLON KEYWORD(int) IDENTIFIER SEMICOLON IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(for) LPAREN KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON IDENTIFIER LTE IDENTIFIER SEMICOLON IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL RPAREN LBRACE IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL SEMICOLON RBRACE KEYWORD(if) LPAREN IDENTIFIER GTE INT_LITERAL RPAREN LBRACE IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL SEMICOLON RBRACE KEYWORD(else) LBRACE IDENTIFIER ASSIGN IDENTIFIER SEMICOLON RBRACE KEYWORD(return) INT_LITERAL SEMICOLON RBRACE,int main() {\n    int x;\n    int y;\n    x = 1;\n    for (int i = 0; i <= x; i = i + 1) {\n        x = x + 1;\n    }\n    if (x >= 1) {\n        y = x + 5;\n    } else {\n        y = x;\n    }\n    return 0;\n}\n
C010,1,void_function,beginner,0,,17,KEYWORD(void) IDENTIFIER LPAREN KEYWORD(int) IDENTIFIER RPAREN LBRACE KEYWORD(int) IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL SEMICOLON KEYWORD(return) SEMICOLON RBRACE,void greet(int x) {\n    int result = x + 1;\n    return;\n}\n
C011,1,while_loop,intermediate,0,,28,KEYWORD(int) IDENTIFIER LPAREN RPAREN LBRACE KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(while) LPAREN IDENTIFIER LT INT_LITERAL RPAREN LBRACE IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL SEMICOLON RBRACE KEYWORD(return) IDENTIFIER SEMICOLON RBRACE,int main() {\n    int x = 0;\n    while (x < 5) {\n        x = x + 1;\n    }\n    return x;\n}\n
